displayName,leagueCountry,firstName,lastName,leagueShortname,fullName,leagueName,countryAbbr,shortName,id
Ryan Ledson,England,Ryan,Ledson,Premier League,Ryan Ledson,Barclays Premier League,ENG,R. Ledson,194119
Elliot Lee,England,Elliot,Lee,Premier League,Elliot Lee,Barclays Premier League,ENG,E. Lee,26614
Aaron Lennon,England,Aaron,Lennon,Premier League,Aaron Lennon,Barclays Premier League,ENG,A. Lennon,35866
Joleon Lescott,England,Joleon,Lescott,Premier League,Joleon Lescott,Barclays Premier League,ENG,J. Lescott,5355
Anders Lindegaard,England,Anders,Lindegaard,Premier League,Anders Lindegaard,Barclays Premier League,ENG,A. Lindegaard,82967
Jesse Lingard,England,Jesse,Lingard,Premier League,Jesse Lingard,Barclays Premier League,ENG,J. Lingard,169136
Jake Livermore,England,Jake,Livermore,Premier League,Jake Livermore,Barclays Premier League,ENG,J. Livermore,111336
Sebastian Lletget,England,Sebastian,Lletget,Premier League,Sebastian Lletget,Barclays Premier League,ENG,S. Lletget,180955
Hugo Lloris,England,Hugo,Lloris,Premier League,Hugo Lloris,Barclays Premier League,ENG,H. Lloris,43372
Kevin Long,England,Kevin,Long,Premier League,Kevin Long,Barclays Premier League,ENG,K. Long,140531
Shane Long,England,Shane,Long,Premier League,Shane Long,Barclays Premier League,ENG,S. Long,127978
Dejan Lovren,England,Dejan,Lovren,Premier League,Dejan Lovren,Barclays Premier League,ENG,D. Lovren,123560
Matthew Lowton,England,Matthew,Lowton,Premier League,Matthew Lowton,Barclays Premier League,ENG,M. Lowton,145738
Romelu Lukaku,England,Romelu,Lukaku,Premier League,Romelu Lukaku,Barclays Premier League,ENG,R. Lukaku,139437
Matthew Macey,England,Matthew,Macey,Premier League,Matthew Macey,Barclays Premier League,ENG,M. Macey,214199
Harry Maguire,England,Harry,Maguire,Premier League,Harry Maguire,Barclays Premier League,ENG,H. Maguire,157073
Riyad Mahrez,England,Riyad,Mahrez,Premier League,Riyad Mahrez,Barclays Premier League,ENG,R. Mahrez,163940
Ainsley Maitland-Niles,England,Ainsley,Maitland-Niles,Premier League,Ainsley Maitland-Niles,Barclays Premier League,ENG,A. Maitland-Niles,214402
Sadio Mane,England,Sadio,Mane,Premier League,Sadio Mane,Barclays Premier League,ENG,S. Mane,169797
Eliaquim Mangala,England,Eliaquim,Mangala,Premier League,Eliaquim Mangala,Barclays Premier League,ENG,E. Mangala,127479
Vito Mannone,England,Vito,Mannone,Premier League,Vito Mannone,Barclays Premier League,ENG,V. Mannone,85400
Javi Manquillo,England,Javier,Manquillo Gaitán,Premier League,Javier Manquillo Gaitán,Barclays Premier League,ENG,J. Manquillo Gaitán,169220
Adrian Mariappa,England,Adrian,Mariappa,Premier League,Adrian Mariappa,Barclays Premier League,ENG,A. Mariappa,62131
Lazar Markovic,England,Lazar,Markovic,Premier League,Lazar Markovic,Barclays Premier League,ENG,L. Markovic,165218
Dean Marney,England,Dean,Marney,Premier League,Dean Marney,Barclays Premier League,ENG,D. Marney,28710
Emiliano Martinez,England,Damian,Martinez,Premier League,Damian Emiliano  Martinez,Barclays Premier League,ENG,D. Martinez,158626
Ryan Mason,England,Ryan,Mason,Premier League,Ryan Glen Mason,Barclays Premier League,ENG,R. Mason,129670
Juan Mata,England,Juan,Mata,Premier League,Juan Manuel Garcia Mata,Barclays Premier League,ENG,J. Mata,103025
Nemanja Matic,England,Nemanja,Matic,Premier League,Nemanja Matic,Barclays Premier League,ENG,N. Matic,135743
Charalampos Mavrias,England,Charalampos,Mavrias,Premier League,Charalampos Mavrias,Barclays Premier League,ENG,C. Mavrias,152193
Emmanuel Mayuka,England,Emmanuel,Mayuka,Premier League,Emmanuel Mayuka,Barclays Premier League,ENG,E. Mayuka,178245
James McArthur,England,James,McArthur,Premier League,James McArthur,Barclays Premier League,ENG,J. McArthur,46963
Gareth McAuley,England,Gareth,McAuley,Premier League,Gareth McAuley,Barclays Premier League,ENG,G. McAuley,32588
Alex McCarthy,England,Alex,McCarthy,Premier League,Alex McCarthy,Barclays Premier League,ENG,A. McCarthy,107542
James McCarthy,England,James,McCarthy,Premier League,James McCarthy,Barclays Premier League,ENG,J. McCarthy,137100
Jason McCarthy,England,Jason,McCarthy,Premier League,Jason McCarthy,Barclays Premier League,ENG,J. McCarthy,194276
Patrick McCarthy,England,Patrick,McCarthy,Premier League,Patrick McCarthy,Barclays Premier League,ENG,P. McCarthy,5032
Aiden McGeady,England,Aiden,McGeady,Premier League,Aiden McGeady,Barclays Premier League,ENG,A. McGeady,86424
Allan McGregor,England,Allan,McGregor,Premier League,Allan McGregor,Barclays Premier League,ENG,A. McGregor,108348
Patrick McNair,England,Patrick,McNair,Premier League,Patrick McNair,Barclays Premier League,ENG,P. McNair,210139
Sam McQueen,England,Sam,McQueen,Premier League,Sam McQueen,Barclays Premier League,ENG,S. McQueen,200846
Paul McShane,England,Paul,McShane,Premier League,Paul McShane,Barclays Premier League,ENG,P. McShane,42732
Benjamin Mee,England,Benjamin,Mee,Premier League,Benjamin Mee,Barclays Premier League,ENG,B. Mee,138159
Per Mertesacker,England,Per,Mertesacker,Premier League,Per Mertesacker,Barclays Premier League,ENG,P. Mertesacker,34041
David Meyler,England,David,Meyler,Premier League,David Meyler,Barclays Premier League,ENG,D. Meyler,121849
Simon Mignolet,England,Simon,Mignolet,Premier League,Simon Mignolet,Barclays Premier League,ENG,S. Mignolet,99829
John Obi Mikel,England,John Obi,Mikel,Premier League,John Obi John Mikel,Barclays Premier League,ENG,J. Mikel,60503
James Milner,England,James,Milner,Premier League,James Milner,Barclays Premier League,ENG,J. Milner,26843
Kevin Mirallas,England,Kevin,Mirallas,Premier League,Kevin Mirallas,Barclays Premier League,ENG,K. Mirallas,161664
Nacho Monreal,England,Nacho,Monreal,Premier League,Nacho Monreal,Barclays Premier League,ENG,N. Monreal,85361
Jefferson Montero,England,Jefferson,Montero,Premier League,Jefferson Montero,Barclays Premier League,ENG,J. Montero,136453
Liam Moore,England,Liam,Moore,Premier League,Liam Moore,Barclays Premier League,ENG,L. Moore,150493
Alberto Moreno,England,Alberto,Moreno,Premier League,Alberto Moreno,Barclays Premier League,ENG,A. Moreno,172998
Wes Morgan,England,Wes,Morgan,Premier League,Wes Morgan,Barclays Premier League,ENG,W. Morgan,31376
James Morrison,England,James,Morrison,Premier League,James Morrison,Barclays Premier League,ENG,J. Morrison,39542
Ravel Morrison,England,Ravel,Morrison,Premier League,Ravel Morrison,Barclays Premier League,ENG,R. Morrison,153297
Victor Moses,England,Victor,Moses,Premier League,Victor Moses,Barclays Premier League,ENG,V. Moses,112547
Youssuf Mulumbu,England,Youssuf,Mulumbu,Premier League,Youssuf Mulumbu,Barclays Premier League,ENG,Y. Mulumbu,88221
Marc Muniesa,England,Marc,Muniesa,Premier League,Marc Muniesa,Barclays Premier League,ENG,M. Muniesa,135405
Brian Murphy,England,Brian,Murphy,Premier League,Brian Murphy,Barclays Premier League,ENG,B. Murphy,5037
Glenn Murray,England,Glenn,Murray,Premier League,Glenn Murray,Barclays Premier League,ENG,G. Murray,46553
Jordon Mutch,England,Jordon,Mutch,Premier League,Jordon Mutch,Barclays Premier League,ENG,J. Mutch,130912
Boaz Myhill,England,Boaz,Myhill,Premier League,Boaz Myhill,Barclays Premier League,ENG,B. Myhill,4680
Charles N'Zogbia,England,Charles,N'Zogbia,Premier League,Charles N'Zogbia,Barclays Premier League,ENG,C. N'Zogbia,44626
Steven Naismith,England,Steven,Naismith,Premier League,Steven Naismith,Barclays Premier League,ENG,S. Naismith,108763
Liam O'Neil,England,Liam,O'Neil,Premier League,Liam O'Neil,Barclays Premier League,ENG,L. O'Neil,164802
John O'Shea,England,John,O'Shea,Premier League,John O'Shea,Barclays Premier League,ENG,J. O'Shea,7624
Gabriel Obertan,England,Gabriel,Obertan,Premier League,Gabriel Obertan,Barclays Premier League,ENG,G. Obertan,86215
Peter Odemwingie,England,Peter,Odemwingie,Premier League,Peter Odemwingie,Barclays Premier League,ENG,P. Odemwingie,69453
Jores Okore,England,Jores,Okore,Premier League,Jores Okore,Barclays Premier League,ENG,J. Okore,157389
Anderson,England,Anderson,Oliveira,Premier League,Anderson Oliveira,Barclays Premier League,ENG,A. Oliveira,88360
Jonas Olsson,England,Jonas,Olsson,Premier League,Jonas Olsson,Barclays Premier League,ENG,J. Olsson,67860
Nedum Onuoha,England,Nedum,Onuoha,Premier League,Nedum Onuoha,Barclays Premier League,ENG,N. Onuoha,45836
Leon Osman,England,Leon,Osman,Premier League,Leon Osman,Barclays Premier League,ENG,L. Osman,7709
David Ospina,England,David,Ospina,Premier League,David Ospina,Barclays Premier League,ENG,D. Ospina,121842
Bryan Oviedo,England,Bryan,Oviedo,Premier League,Bryan Oviedo,Barclays Premier League,ENG,B. Oviedo,147197
Alex Oxlade-Chamberlain,England,Alex,Oxlade-Chamberlain,Premier League,Alex Oxlade-Chamberlain,Barclays Premier League,ENG,A. Oxlade-Chamberlain,145392
Costel Pantilimon,England,Costel,Pantilimon,Premier League,Costel Pantilimon,Barclays Premier League,ENG,C. Pantilimon,126727
Graziano Pelle,England,Graziano,Pelle,Premier League,Graziano Pelle,Barclays Premier League,ENG,G. Pelle,40846
Andreas Pereira,England,Andreas,Pereira,Premier League,Andreas Pereira,Barclays Premier League,ENG,A. Pereira,210143
Lucas,England,Lucas,Pezzini-Leiva,Premier League,Lucas Pezzini-Leiva,Barclays Premier League,ENG,L. Pezzini-Leiva,108315
Matthew Phillips,England,Matthew,Phillips,Premier League,Matthew Phillips,Barclays Premier League,ENG,M. Phillips,119004
Steven Pienaar,England,Steven,Pienaar,Premier League,Steven Pienaar,Barclays Premier League,ENG,S. Pienaar,19544
Erik Pieters,England,Erik,Pieters,Premier League,Erik Pieters,Barclays Premier League,ENG,E. Pieters,124890
Sébastien Pocognoli,England,Sébastien,Pocognoli,Premier League,Sébastien Pocognoli,Barclays Premier League,ENG,S. Pocognoli,125299
Lukas Podolski,England,Lukas,Podolski,Premier League,Lukas Podolski,Barclays Premier League,ENG,L. Podolski,39759
Nick Powell,England,Nick,Powell,Premier League,Nick Powell,Barclays Premier League,ENG,N. Powell,150469
Diego Poyet,England,Diego,Poyet,Premier League,Diego Poyet,Barclays Premier League,ENG,D. Poyet,191606
Jose Pozos,England,Jose,Pozos,Premier League,Jose Pozos,Barclays Premier League,ENG,J. Pozos,178838
Jason Puncheon,England,Jason,Puncheon,Premier League,Jason Puncheon,Barclays Premier League,ENG,J. Puncheon,42019
Ayoze Pérez,England,Ayoze,Pérez Gutiérrez,Premier League,Ayoze Pérez Gutiérrez,Barclays Premier League,ENG,A. Pérez Gutiérrez,192133
Stephen Quinn,England,Stephen,Quinn,Premier League,Stephen Quinn,Barclays Premier League,ENG,S. Quinn,65473
Aaron Ramsey,England,Aaron,Ramsey,Premier League,Aaron Ramsey,Barclays Premier League,ENG,A. Ramsey,98681
Gastón Ramírez,England,Gastón,Ramírez,Premier League,Gastón Ramírez,Barclays Premier League,ENG,G. Ramírez,130591
Angel Rangel,England,Angel,Rangel,Premier League,Angel Rangel,Barclays Premier League,ENG,A. Rangel,102588
Harrison Reed,England,Harrison,Reed,Premier League,Harrison Reed,Barclays Premier League,ENG,H. Reed,193246
Fernando,England,Fernando,Reges,Premier League,Fernando Francisco Reges,Barclays Premier League,ENG,F. Reges,124066
Steven Reid,England,Steven,Reid,Premier League,Steven Reid,Barclays Premier League,ENG,S. Reid,5081
Winston Reid,England,Winston,Reid,Premier League,Winston Reid,Barclays Premier League,ENG,W. Reid,99875
Anthony Reveillere,England,Anthony,Reveillere,Premier League,Anthony Reveillere,Barclays Premier League,ENG,A. Reveillere,30075
Ashley Richards,England,Ashley,Richards,Premier League,Ashley Richards,Barclays Premier League,ENG,A. Richards,132635
Kieran Richardson,England,Kieran,Richardson,Premier League,Kieran Richardson,Barclays Premier League,ENG,K. Richardson,23139
Emmanuel Riviere,England,Emmanuel,Riviere,Premier League,Emmanuel Riviere,Barclays Premier League,ENG,E. Riviere,107033
Valentin Roberge,England,Valentin,Roberge,Premier League,Valentin Roberge,Barclays Premier League,ENG,V. Roberge,149625
Andrew Robertson,England,Andrew,Robertson,Premier League,Andrew Robertson,Barclays Premier League,ENG,A. Robertson,104943
Joel Robles,England,Joel,Robles,Premier League,Joel Robles,Barclays Premier League,ENG,J. Robles,141624
Thomas Robson,England,Thomas,Robson,Premier League,Thomas Robson,Barclays Premier League,ENG,T. Robson,213552
Jack Rodwell,England,Jack,Rodwell,Premier League,Jack Rodwell,Barclays Premier League,ENG,J. Rodwell,112092
Marcos Rojo,England,Marcos,Rojo,Premier League,Marcos Rojo,Barclays Premier League,ENG,M. Rojo,129426
Wayne Rooney,England,Wayne,Rooney,Premier League,Wayne Rooney,Barclays Premier League,ENG,W. Rooney,21046
Fernandinho,England,Fernandinho,Rosa,Premier League,Fernandinho Rosa,Barclays Premier League,ENG,F. Rosa,178486
Danny Rose,England,Danny,Rose,Premier League,Danny Rose,Barclays Premier League,ENG,D. Rose,104991
Liam Rosenior,England,Liam,Rosenior,Premier League,Liam Rosenior,Barclays Premier League,ENG,L. Rosenior,133897
Tomas Rosicky,England,Tomas,Rosicky,Premier League,Tomas Rosicky,Barclays Premier League,ENG,T. Rosicky,10726
Wayne Routledge,England,Wayne,Routledge,Premier League,Wayne Routledge,Barclays Premier League,ENG,W. Routledge,16155
Andrew Robertson,England,Andrew,Robertson,Premier League,Andrew Robertson,Barclays Premier League,ENG,A. Robertson,104943
Callum Robinson,England,Callum,Robinson,Premier League,Callum Robinson,Barclays Premier League,ENG,C. Robinson,194272
Joel Robles,England,Joel,Robles,Premier League,Joel Robles,Barclays Premier League,ENG,J. Robles,141624
Thomas Robson,England,Thomas,Robson,Premier League,Thomas Robson,Barclays Premier League,ENG,T. Robson,213552
Jack Rodwell,England,Jack,Rodwell,Premier League,Jack Rodwell,Barclays Premier League,ENG,J. Rodwell,112092
Marcos Rojo,England,Marcos,Rojo,Premier League,Marcos Rojo,Barclays Premier League,ENG,M. Rojo,129426
Wayne Rooney,England,Wayne,Rooney,Premier League,Wayne Rooney,Barclays Premier League,ENG,W. Rooney,21046
Fernandinho,England,Fernandinho,Rosa,Premier League,Fernandinho Rosa,Barclays Premier League,ENG,F. Rosa,178486
Danny Rose,England,Danny,Rose,Premier League,Danny Rose,Barclays Premier League,ENG,D. Rose,104991
Liam Rosenior,England,Liam,Rosenior,Premier League,Liam Rosenior,Barclays Premier League,ENG,L. Rosenior,133897
Tomas Rosicky,England,Tomas,Rosicky,Premier League,Tomas Rosicky,Barclays Premier League,ENG,T. Rosicky,10726
Wayne Routledge,England,Wayne,Routledge,Premier League,Wayne Routledge,Barclays Premier League,ENG,W. Routledge,16155
Loïc Rémy,England,Loïc,Rémy,Premier League,Loïc Rémy,Barclays Premier League,ENG,L. Rémy,84886
Yannick Sagbo,England,Yannick,Sagbo,Premier League,Yannick Sagbo,Barclays Premier League,ENG,Y. Sagbo,120949
Bacary Sagna,England,Bacary,Sagna,Premier League,Bacary Sagna,Barclays Premier League,ENG,B. Sagna,38880
Diafra Sakho,England,Diafra,Sakho,Premier League,Diafra Sakho,Barclays Premier League,ENG,D. Sakho,138561
Mamadou Sakho,England,Mamadou,Sakho,Premier League,Mamadou Sakho,Barclays Premier League,ENG,M. Sakho,96162
Mohamed Salah,England,Mohamed,Salah,Premier League,Mohamed Ghaly Salah,Barclays Premier League,ENG,M. Salah,173896
Giorgos Samaras,England,Giorgos,Samaras,Premier League,Giorgos Samaras,Barclays Premier League,ENG,G. Samaras,26416
Adrián,England,Adrián,San Miguel del Castillo,Premier League,Adrián San Miguel del Castillo,Barclays Premier League,ENG,A. San Miguel del Castillo,134230
Yaya Sanogo,England,Yaya,Sanogo,Premier League,Yaya Sanogo,Barclays Premier League,ENG,Y. Sanogo,144279
Ramires,England,Ramires,Santos do Nascimento,Premier League,Ramires Santos do Nascimento,Barclays Premier League,ENG,R. Santos do Nascimento,99025
Jefferey Schlupp,England,Jefferey,Schlupp,Premier League,Jefferey Schlupp,Barclays Premier League,ENG,J. Schlupp,205646
Kasper Schmeichel,England,Kasper,Schmeichel,Premier League,Kasper Schmeichel,Barclays Premier League,ENG,K. Schmeichel,40200
Morgan Schneiderlin,England,Morgan,Schneiderlin,Premier League,Morgan Schneiderlin,Barclays Premier League,ENG,M. Schneiderlin,101461
André Schürrle,England,André,Schürrle,Premier League,André Schürrle,Barclays Premier League,ENG,A. Schürrle,136580
Philippe Senderos,England,Philippe,Senderos,Premier League,Philippe Senderos,Barclays Premier League,ENG,P. Senderos,19435
Stephane Sessegnon,England,Stephane,Sessegnon,Premier League,Stephane Sessegnon,Barclays Premier League,ENG,S. Sessegnon,85095
Jason Shackell,England,Jason,Shackell,Premier League,Jason Shackell,Barclays Premier League,ENG,J. Shackell,31664
Luke Shaw,England,Luke,Shaw,Premier League,Luke Shaw,Barclays Premier League,ENG,L. Shaw,167127
Ryan Shawcross,England,Ryan,Shawcross,Premier League,Ryan Shawcross,Barclays Premier League,ENG,R. Shawcross,89557
Josh Sheehan,England,Josh,Sheehan,Premier League,Josh Sheehan,Barclays Premier League,ENG,J. Sheehan,187177
Jonjo Shelvey,England,Jonjo,Shelvey,Premier League,Jonjo Shelvey,Barclays Premier League,ENG,J. Shelvey,119005
Oliver Shenton,England,Oliver,Shenton,Premier League,Oliver Shenton,Barclays Premier League,ENG,O. Shenton,210175
Liam Shephard,England,Liam,Shephard,Premier League,Liam Shephard,Barclays Premier League,ENG,L. Shephard,192654
Steve Sidwell,England,Steve,Sidwell,Premier League,Steve Sidwell,Barclays Premier League,ENG,S. Sidwell,15820
Gylfi Sigurdsson,England,Gylfi,Sigurdsson,Premier League,Gylfi Sigurdsson,Barclays Premier League,ENG,G. Sigurdsson,121910
David Silva,England,David,Silva,Premier League,David Jimenez Silva,Barclays Premier League,ENG,D. Silva,43815
Danny Simpson,England,Danny,Simpson,Premier League,Danny Simpson,Barclays Premier League,ENG,D. Simpson,83177
Scott Sinclair,England,Scott,Sinclair,Premier League,Scott Sinclair,Barclays Premier League,ENG,S. Sinclair,46565
Moussa Sissoko,England,Moussa,Sissoko,Premier League,Moussa Sissoko,Barclays Premier League,ENG,M. Sissoko,104658
Martin Skrtel,England,Martin,Skrtel,Premier League,Martin Skrtel,Barclays Premier League,ENG,M. Skrtel,45606
Chris Smalling,England,Chris,Smalling,Premier League,Chris Smalling,Barclays Premier League,ENG,C. Smalling,123605
Adam Smith,England,Adam,Smith,Premier League,Adam Smith,Barclays Premier League,ENG,A. Smith,157858
Robert Snodgrass,England,Robert,Snodgrass,Premier League,Robert Snodgrass,Barclays Premier League,ENG,R. Snodgrass,156085
Dominic Solanke,England,Dominic,Solanke,Premier League,Dominic Solanke,Barclays Premier League,ENG,D. Solanke,194115
Roberto Soldado,England,Roberto,Soldado,Premier League,Roberto Soldado,Barclays Premier League,ENG,R. Soldado,42042
Alex Song,England,Alex,Song,Premier League,Alex Song,Barclays Premier League,ENG,A. Song,43447
Marvin Sordell,England,Marvin,Sordell,Premier League,Marvin Sordell,Barclays Premier League,ENG,M. Sordell,127138
Thomas Sorensen,England,Thomas,Sorensen,Premier League,Thomas Sorensen,Barclays Premier League,ENG,T. Sorensen,8067
Benjamin Stambouli,England,Benjamin,Stambouli,Premier League,Benjamin Stambouli,Barclays Premier League,ENG,B. Stambouli,144280
Jack Stephens,England,Jack,Stephens,Premier League,Jack Stephens,Barclays Premier League,ENG,J. Stephens,152475
Raheem Sterling,England,Raheem,Sterling,Premier League,Raheem Sterling,Barclays Premier League,ENG,R. Sterling,156366
John Stones,England,John,Stones,Premier League,John Stones,Barclays Premier League,ENG,J. Stones,157974
Remie Streete,England,Remie,Streete,Premier League,Remie Streete,Barclays Premier League,ENG,R. Streete,181391
Daniel Sturridge,England,Daniel,Sturridge,Premier League,Daniel Sturridge,Barclays Premier League,ENG,D. Sturridge,85291
Yun Suk-Young,England,Yun,Suk-Young,Premier League,Yun Suk-Young,Barclays Premier League,ENG,Y. Suk-Young,175140
Ki Sung-Yeung,England,Ki,Sung-Yeung,Premier League,Ki Sung-Yeung,Barclays Premier League,ENG,K. Sung-Yeung,122608
Wojciech Szczesny,England,Wojciech,Szczesny,Premier League,Wojciech Szczesny,Barclays Premier League,ENG,W. Szczesny,131634
Alexis Sánchez,England,Alexis,Sánchez,Premier League,Alexis Sánchez,Barclays Premier League,ENG,A. Sánchez,92055
Carlos Sánchez,England,Carlos,Sánchez,Premier League,Carlos Sánchez,Barclays Premier League,ENG,C. Sánchez,101471
José Enrique,England,José,Sánchez Díaz,Premier League,José Enrique Sánchez Díaz,Barclays Premier League,ENG,J. Sánchez Díaz,68594
Adel Taarabt,England,Adel,Taarabt,Premier League,Adel Taarabt,Barclays Premier League,ENG,A. Taarabt,87623
Dusan Tadic,England,Dusan,Tadic,Premier League,Dusan Tadic,Barclays Premier League,ENG,D. Tadic,122575
Matt Targett,England,Matt,Targett,Premier League,Matt Targett,Barclays Premier League,ENG,M. Targett,192929
Cabral,England,Adilson Cabral,Tavares Varela,Premier League,Adilson Cabral Tavares Varela,Barclays Premier League,ENG,A. Tavares Varela,125941
Matthew Taylor,England,Matthew,Taylor,Premier League,Matthew Taylor,Barclays Premier League,ENG,M. Taylor,6136
Neil Taylor,England,Neil,Taylor,Premier League,Neil Taylor,Barclays Premier League,ENG,N. Taylor,107571
Ryan Taylor,England,Ryan,Taylor,Premier League,Ryan Taylor,Barclays Premier League,ENG,R. Taylor,16216
Steven Taylor,England,Steven,Taylor,Premier League,Steven Taylor,Barclays Premier League,ENG,S. Taylor,17812
Gary Taylor-Fletcher,England,Gary,Taylor-Fletcher,Premier League,Gary Taylor-Fletcher,Barclays Premier League,ENG,G. Taylor-Fletcher,6190
Saphir Taïder,England,Saphir,Taïder,Premier League,Saphir Taïder,Barclays Premier League,ENG,S. Taïder,146636
Dionatan Teixeira,England,Dionatan,Teixeira,Premier League,Dionatan do Nascimento Teixeira,Barclays Premier League,ENG,D. Teixeira,205604
John Terry,England,John,Terry,Premier League,John Terry,Barclays Premier League,ENG,J. Terry,8931
Jerome Thomas,England,Jerome,Thomas,Premier League,Jerome Thomas,Barclays Premier League,ENG,J. Thomas,16703
Tom Thorpe,England,Tom,Thorpe,Premier League,Tom Thorpe,Barclays Premier League,ENG,T. Thorpe,167117
Dwight Tiendalli,England,Dwight,Tiendalli,Premier League,Dwight Tiendalli,Barclays Premier League,ENG,D. Tiendalli,46034
Ismael Tioté,England,Ismael,Tioté,Premier League,Ismael Tioté,Barclays Premier League,ENG,I. Tioté,73076
James Tomkins,England,James,Tomkins,Premier League,James Tomkins,Barclays Premier League,ENG,J. Tomkins,104917
Fernando Torres,England,Fernando,Torres,Premier League,Fernando Torres,Barclays Premier League,ENG,F. Torres,24257
Kolo Touré,England,Kolo,Touré,Premier League,Kolo Touré,Barclays Premier League,ENG,K. Touré,23601
Yaya Touré,England,Yaya,Touré,Premier League,Yaya Touré,Barclays Premier League,ENG,Y. Touré,69277
Andros Townsend,England,Andros,Townsend,Premier League,Andros Townsend,Barclays Premier League,ENG,A. Townsend,132432
Armand Traore,England,Armand,Traore,Premier League,Armand Traore,Barclays Premier League,ENG,A. Traore,89374
Gerhard Tremmel,England,Gerhard,Tremmel,Premier League,Gerhard Tremmel,Barclays Premier League,ENG,G. Tremmel,84678
Kieran Trippier,England,Kieran,Trippier,Premier League,Kieran Trippier,Barclays Premier League,ENG,K. Trippier,143637
Leonardo Ulloa,England,José,Ulloa,Premier League,José Leonardo Ulloa,Barclays Premier League,ENG,J. Ulloa,67327
Antonio Valencia,England,Antonio,Valencia,Premier League,Antonio Valencia,Barclays Premier League,ENG,A. Valencia,65629
Enner Valencia,England,Enner,Valencia,Premier League,Enner Valencia,Barclays Premier League,ENG,E. Valencia,171771
Patrick Van Aanholt,England,Patrick,Van Aanholt,Premier League,Patrick Van Aanholt,Barclays Premier League,ENG,P. Van Aanholt,138746
Robin van Persie,England,Robin,van Persie,Premier League,Robin van Persie,Barclays Premier League,ENG,R. van Persie,18858
Jamie Vardy,England,Jamie,Vardy,Premier League,Jamie Vardy,Barclays Premier League,ENG,J. Vardy,165648
Eduardo Vargas,England,Eduardo,Vargas,Premier League,Eduardo Vargas,Barclays Premier League,ENG,E. Vargas,169773
Ricardo Vaz Te,England,Ricardo,Vaz Te,Premier League,Ricardo Vaz Te,Barclays Premier League,ENG,R. Vaz Te,101268
Santiago Vergini,England,Santiago,Vergini,Premier League,Santiago Vergini,Barclays Premier League,ENG,S. Vergini,140902
Marnick Vermijl,England,Marnick,Vermijl,Premier League,Marnick Vermijl,Barclays Premier League,ENG,M. Vermijl,168255
Jan Vertonghen,England,Jan,Vertonghen,Premier League,Jan Vertonghen,Barclays Premier League,ENG,J. Vertonghen,125086
Ron Vlaar,England,Ron,Vlaar,Premier League,Ron Vlaar,Barclays Premier League,ENG,R. Vlaar,127433
Michel Vorm,England,Michel,Vorm,Premier League,Michel Vorm,Barclays Premier League,ENG,M. Vorm,19705
Theo Walcott,England,Theo,Walcott,Premier League,Theo Walcott,Barclays Premier League,ENG,T. Walcott,67507
Jonathan Walters,England,Jonathan,Walters,Premier League,Jonathan Walters,Barclays Premier League,ENG,J. Walters,23770
Victor Wanyama,England,Victor,Wanyama,Premier League,Victor Wanyama,Barclays Premier League,ENG,V. Wanyama,139703
Joel Ward,England,Joel,Ward,Premier League,Joel Ward,Barclays Premier League,ENG,J. Ward,136571
Stephen Ward,England,Stephen,Ward,Premier League,Stephen Ward,Barclays Premier League,ENG,S. Ward,94701
James Ward-Prowse,England,James,Ward-Prowse,Premier League,James Ward-Prowse,Barclays Premier League,ENG,J. Ward-Prowse,163111
Marcin Wasilewski,England,Marcin,Wasilewski,Premier League,Marcin Wasilewski,Barclays Premier League,ENG,M. Wasilewski,32061
Rory Watson,England,Rory,Watson,Premier League,Rory Watson,Barclays Premier League,ENG,R. Watson,213218
Andreas Weimann,England,Andreas,Weimann,Premier League,Andreas Weimann,Barclays Premier League,ENG,A. Weimann,138905
Danny Welbeck,England,Danny,Welbeck,Premier League,Danny Welbeck,Barclays Premier League,ENG,D. Welbeck,115271
Ashley Westwood,England,Ashley,Westwood,Premier League,Ashley Westwood,Barclays Premier League,ENG,A. Westwood,7567
Glenn Whelan,England,Glenn,Whelan,Premier League,Glenn Whelan,Barclays Premier League,ENG,G. Whelan,5026
Connor Wickham,England,Connor,Wickham,Premier League,Connor Wickham,Barclays Premier League,ENG,C. Wickham,130189
Ashley Williams,England,Ashley,Williams,Premier League,Ashley Williams,Barclays Premier League,ENG,A. Williams,129481
Jonathan Williams,England,Jonathan,Williams,Premier League,Jonathan Williams,Barclays Premier League,ENG,J. Williams,24675
Michael Williamson,England,Michael,Williamson,Premier League,Michael Williamson,Barclays Premier League,ENG,M. Williamson,37569
Jack Wilshere,England,Jack,Wilshere,Premier League,Jack Wilshere,Barclays Premier League,ENG,J. Wilshere,122089
James Wilson,England,James,Wilson,Premier League,James Wilson,Barclays Premier League,ENG,J. Wilson,202808
Marc Wilson,England,Marc,Wilson,Premier League,Marc Wilson,Barclays Premier League,ENG,M. Wilson,77070
Andre Wisdom,England,Andre,Wisdom,Premier League,Andre Wisdom,Barclays Premier League,ENG,A. Wisdom,152596
Chris Wood,England,Chris,Wood,Premier League,Chris Wood,Barclays Premier League,ENG,C. Wood,134190
Shaun Wright-Phillips,England,Shaun,Wright-Phillips,Premier League,Shaun Wright-Phillips,Barclays Premier League,ENG,S. Wright-Phillips,5030
Claudio Yacob,England,Claudio,Yacob,Premier League,Claudio Yacob,Barclays Premier League,ENG,C. Yacob,92080
Maya Yoshida,England,Maya,Yoshida,Premier League,Maya Yoshida,Barclays Premier League,ENG,M. Yoshida,105803
